baths,baths_full,baths_half,beds,garage,lot_sqft,sold_date,sold_price,sqft,stories,type,year_built,is_price_reduced,list_date,list_price,listing_id,city,lat,lon,line,postal_code,state,state_code,price_reduced_amount,property_id,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,disability_features,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,laundry_room,master_bedroom,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,swimming_pool,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer
1.0,1.0,0.0,2.0,1.0,3920.0,2024-01-11,160000,864.0,,single_family,1900.0,False,2023-10-25T15:55:03.000000Z,164900,2960858191,Lincoln,40.807426,-96.690941,631 S 21st St,68510,Nebraska,NE,10000.0,7531611454,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3.0,0.0,3.0,2.0,7200.0,2024-01-11,277000,1572.0,2.0,single_family,1991.0,False,2023-12-01T06:18:51.000000Z,280000,2962101454,Lincoln,40.853274,-96.6913,4141 Paxton Cir,68521,Nebraska,NE,0.0,7235165956,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1.0,0.0,0.0,2.0,1.0,8899.0,2024-01-11,155350,850.0,1.0,single_family,1950.0,False,2023-12-07T17:29:36.000000Z,169000,2962306142,Lincoln,40.80884,-96.662392,451 S 41st St,68510,Nebraska,NE,0.0,8229073833,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3.0,1.0,0.0,3.0,2.0,5227.0,2024-01-10,269000,1796.0,2.0,single_family,1976.0,False,2023-11-29T16:58:58.000000Z,269000,2962039341,Lincoln,40.759975,-96.648119,5321 S 53rd St,68516,Nebraska,NE,0.0,7455425163,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
3.0,1.0,1.0,2.0,2.0,7405.0,2024-01-10,206000,1463.0,2.0,single_family,1978.0,False,2023-09-08T20:10:29.000000Z,224900,2959507435,Lincoln,40.832892,-96.634048,6321 Colby St,68505,Nebraska,NE,5000.0,7482796218,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1.0,0.0,3.0,1.0,7100.0,2024-01-10,262500,1252.0,2.0,single_family,1935.0,False,2023-11-09T06:24:36.000000Z,255000,2961480454,Lincoln,40.777789,-96.658296,4441 Hillside St,68506,Nebraska,NE,15000.0,8119188644,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,1.0,0.0,5.0,2.0,7841.0,2024-01-10,324900,2118.0,1.0,single_family,1976.0,False,2023-11-30T20:32:35.000000Z,324900,2962087575,Lincoln,40.755819,-96.658047,5624 Bodie Cir,68516,Nebraska,NE,0.0,8903152276,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
3.0,3.0,0.0,4.0,2.0,5619.0,2024-01-10,270000,2137.0,1.0,single_family,2002.0,False,2023-12-14T23:10:38.000000Z,270000,2962558548,Lincoln,40.797464,-96.736251,1561 SW 10th St,68522,Nebraska,NE,0.0,8630084416,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,3.0,2.0,7841.0,2024-01-10,245000,1524.0,2.0,single_family,1975.0,False,2023-12-09T16:55:58.000000Z,249000,2962361226,Lincoln,40.765277,-96.64159,4740 S 58th St,68516,Nebraska,NE,0.0,7492989233,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
3.0,2.0,0.0,3.0,2.0,3478.0,2024-01-10,349000,2424.0,1.0,townhomes,2003.0,False,2023-11-30T09:16:42.000000Z,349000,2962069991,Lincoln,40.747612,-96.669242,3421 W Cape Charles Rd,68516,Nebraska,NE,0.0,8049279998,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
